Run,Metode,k,Dunn,File
1,K-Means,4,0.05161307354896321,kmeans_k4_run1.csv
2,K-Means,4,0.05705574489748899,kmeans_k4_run2.csv
3,K-Means,4,0.08832395140861522,kmeans_k4_run3.csv
4,K-Means,4,0.05161307354896321,kmeans_k4_run4.csv
5,K-Means,4,0.0895337479712266,kmeans_k4_run5.csv
6,K-Means,4,0.06448338292070921,kmeans_k4_run6.csv
7,K-Means,4,0.0919352730540859,kmeans_k4_run7.csv
8,K-Means,4,0.0919352730540859,kmeans_k4_run8.csv
9,K-Means,4,0.03865421384317926,kmeans_k4_run9.csv
10,K-Means,4,0.08837879189831431,kmeans_k4_run10.csv
11,K-Means,4,0.062066970777658194,kmeans_k4_run11.csv
12,K-Means,4,0.06448338292070921,kmeans_k4_run12.csv
13,K-Means,4,0.057817124485853744,kmeans_k4_run13.csv
14,K-Means,4,0.05732970455732236,kmeans_k4_run14.csv
15,K-Means,4,0.0676453561894013,kmeans_k4_run15.csv
16,K-Means,4,0.05705574489748899,kmeans_k4_run16.csv
17,K-Means,4,0.0919352730540859,kmeans_k4_run17.csv
18,K-Means,4,0.05620246728953738,kmeans_k4_run18.csv
19,K-Means,4,0.07596218929346195,kmeans_k4_run19.csv
20,K-Means,4,0.05620246728953738,kmeans_k4_run20.csv
21,K-Means,4,0.07819871688647177,kmeans_k4_run21.csv
22,K-Means,4,0.05161307354896321,kmeans_k4_run22.csv
23,K-Means,4,0.07819871688647177,kmeans_k4_run23.csv
24,K-Means,4,0.05994752573640934,kmeans_k4_run24.csv
25,K-Means,4,0.0919352730540859,kmeans_k4_run25.csv
26,K-Means,4,0.05994752573640934,kmeans_k4_run26.csv
27,K-Means,4,0.06448338292070921,kmeans_k4_run27.csv
28,K-Means,4,0.0919352730540859,kmeans_k4_run28.csv
29,K-Means,4,0.07819871688647177,kmeans_k4_run29.csv
30,K-Means,4,0.05967375732777056,kmeans_k4_run30.csv
31,K-Means,4,0.08658729411315905,kmeans_k4_run31.csv
32,K-Means,4,0.08658729411315905,kmeans_k4_run32.csv
33,K-Means,4,0.058200096117131186,kmeans_k4_run33.csv
34,K-Means,4,0.05967375732777056,kmeans_k4_run34.csv
35,K-Means,4,0.09370942383083583,kmeans_k4_run35.csv
36,K-Means,4,0.03434631977920531,kmeans_k4_run36.csv
37,K-Means,4,0.05620246728953738,kmeans_k4_run37.csv
38,K-Means,4,0.05489115154105997,kmeans_k4_run38.csv
39,K-Means,4,0.06448338292070921,kmeans_k4_run39.csv
40,K-Means,4,0.05537801465607971,kmeans_k4_run40.csv
41,K-Means,4,0.0825434216932986,kmeans_k4_run41.csv
42,K-Means,4,0.07819871688647177,kmeans_k4_run42.csv
43,K-Means,4,0.05349454632791246,kmeans_k4_run43.csv
44,K-Means,4,0.08658729411315905,kmeans_k4_run44.csv
45,K-Means,4,0.08907488592704016,kmeans_k4_run45.csv
46,K-Means,4,0.05705574489748899,kmeans_k4_run46.csv
47,K-Means,4,0.0919352730540859,kmeans_k4_run47.csv
48,K-Means,4,0.08837879189831431,kmeans_k4_run48.csv
49,K-Means,4,0.05994752573640934,kmeans_k4_run49.csv
50,K-Means,4,0.05705574489748899,kmeans_k4_run50.csv
51,K-Means,4,0.08825824053017967,kmeans_k4_run51.csv
52,K-Means,4,0.0978594119207202,kmeans_k4_run52.csv
53,K-Means,4,0.05620246728953738,kmeans_k4_run53.csv
54,K-Means,4,0.06448338292070921,kmeans_k4_run54.csv
55,K-Means,4,0.07303550461813933,kmeans_k4_run55.csv
56,K-Means,4,0.08658729411315905,kmeans_k4_run56.csv
57,K-Means,4,0.08658729411315905,kmeans_k4_run57.csv
58,K-Means,4,0.07303550461813933,kmeans_k4_run58.csv
59,K-Means,4,0.05705574489748899,kmeans_k4_run59.csv
60,K-Means,4,0.0919352730540859,kmeans_k4_run60.csv
61,K-Means,4,0.05705574489748899,kmeans_k4_run61.csv
62,K-Means,4,0.09370942383083583,kmeans_k4_run62.csv
63,K-Means,4,0.07819871688647177,kmeans_k4_run63.csv
64,K-Means,4,0.08658729411315905,kmeans_k4_run64.csv
65,K-Means,4,0.032348355463925935,kmeans_k4_run65.csv
66,K-Means,4,0.0919352730540859,kmeans_k4_run66.csv
67,K-Means,4,0.05705574489748899,kmeans_k4_run67.csv
68,K-Means,4,0.08658729411315905,kmeans_k4_run68.csv
69,K-Means,4,0.03420718286816677,kmeans_k4_run69.csv
70,K-Means,4,0.08658729411315905,kmeans_k4_run70.csv
71,K-Means,4,0.06593672722610405,kmeans_k4_run71.csv
72,K-Means,4,0.09147358324869449,kmeans_k4_run72.csv
73,K-Means,4,0.06448338292070921,kmeans_k4_run73.csv
74,K-Means,4,0.053986896495540566,kmeans_k4_run74.csv
75,K-Means,4,0.07596218929346195,kmeans_k4_run75.csv
76,K-Means,4,0.0895337479712266,kmeans_k4_run76.csv
77,K-Means,4,0.05705574489748899,kmeans_k4_run77.csv
78,K-Means,4,0.08825824053017967,kmeans_k4_run78.csv
79,K-Means,4,0.08658729411315905,kmeans_k4_run79.csv
80,K-Means,4,0.09079383745463719,kmeans_k4_run80.csv
81,K-Means,4,0.08658729411315905,kmeans_k4_run81.csv
82,K-Means,4,0.05705574489748899,kmeans_k4_run82.csv
83,K-Means,4,0.05705574489748899,kmeans_k4_run83.csv
84,K-Means,4,0.05994752573640934,kmeans_k4_run84.csv
85,K-Means,4,0.0978594119207202,kmeans_k4_run85.csv
86,K-Means,4,0.05349454632791246,kmeans_k4_run86.csv
87,K-Means,4,0.05705574489748899,kmeans_k4_run87.csv
88,K-Means,4,0.06448338292070921,kmeans_k4_run88.csv
89,K-Means,4,0.05620246728953738,kmeans_k4_run89.csv
90,K-Means,4,0.05994752573640934,kmeans_k4_run90.csv
91,K-Means,4,0.08658729411315905,kmeans_k4_run91.csv
92,K-Means,4,0.07596218929346195,kmeans_k4_run92.csv
93,K-Means,4,0.07303550461813933,kmeans_k4_run93.csv
94,K-Means,4,0.053835569438100236,kmeans_k4_run94.csv
95,K-Means,4,0.07819871688647177,kmeans_k4_run95.csv
96,K-Means,4,0.09147358324869449,kmeans_k4_run96.csv
97,K-Means,4,0.053986896495540566,kmeans_k4_run97.csv
98,K-Means,4,0.05620246728953738,kmeans_k4_run98.csv
99,K-Means,4,0.08658729411315905,kmeans_k4_run99.csv
100,K-Means,4,0.08658729411315905,kmeans_k4_run100.csv
1,FCM,4,0.053095880704039006,fcm_k4_run1.csv
2,FCM,4,0.053095880704039006,fcm_k4_run2.csv
3,FCM,4,0.053095880704039006,fcm_k4_run3.csv
4,FCM,4,0.053095880704039006,fcm_k4_run4.csv
5,FCM,4,0.053095880704039006,fcm_k4_run5.csv
6,FCM,4,0.053095880704039006,fcm_k4_run6.csv
7,FCM,4,0.053095880704039006,fcm_k4_run7.csv
8,FCM,4,0.053095880704039006,fcm_k4_run8.csv
9,FCM,4,0.053095880704039006,fcm_k4_run9.csv
10,FCM,4,0.053095880704039006,fcm_k4_run10.csv
11,FCM,4,0.053095880704039006,fcm_k4_run11.csv
12,FCM,4,0.053095880704039006,fcm_k4_run12.csv
13,FCM,4,0.053095880704039006,fcm_k4_run13.csv
14,FCM,4,0.053095880704039006,fcm_k4_run14.csv
15,FCM,4,0.053095880704039006,fcm_k4_run15.csv
16,FCM,4,0.053095880704039006,fcm_k4_run16.csv
17,FCM,4,0.053095880704039006,fcm_k4_run17.csv
18,FCM,4,0.053095880704039006,fcm_k4_run18.csv
19,FCM,4,0.053095880704039006,fcm_k4_run19.csv
20,FCM,4,0.053095880704039006,fcm_k4_run20.csv
21,FCM,4,0.053095880704039006,fcm_k4_run21.csv
22,FCM,4,0.053095880704039006,fcm_k4_run22.csv
23,FCM,4,0.053095880704039006,fcm_k4_run23.csv
24,FCM,4,0.053095880704039006,fcm_k4_run24.csv
25,FCM,4,0.053095880704039006,fcm_k4_run25.csv
26,FCM,4,0.053095880704039006,fcm_k4_run26.csv
27,FCM,4,0.053095880704039006,fcm_k4_run27.csv
28,FCM,4,0.053095880704039006,fcm_k4_run28.csv
29,FCM,4,0.053095880704039006,fcm_k4_run29.csv
30,FCM,4,0.053095880704039006,fcm_k4_run30.csv
31,FCM,4,0.053095880704039006,fcm_k4_run31.csv
32,FCM,4,0.053095880704039006,fcm_k4_run32.csv
33,FCM,4,0.053095880704039006,fcm_k4_run33.csv
34,FCM,4,0.053095880704039006,fcm_k4_run34.csv
35,FCM,4,0.053095880704039006,fcm_k4_run35.csv
36,FCM,4,0.053095880704039006,fcm_k4_run36.csv
37,FCM,4,0.053095880704039006,fcm_k4_run37.csv
38,FCM,4,0.053095880704039006,fcm_k4_run38.csv
39,FCM,4,0.053095880704039006,fcm_k4_run39.csv
40,FCM,4,0.053095880704039006,fcm_k4_run40.csv
41,FCM,4,0.053095880704039006,fcm_k4_run41.csv
42,FCM,4,0.053095880704039006,fcm_k4_run42.csv
43,FCM,4,0.053095880704039006,fcm_k4_run43.csv
44,FCM,4,0.053095880704039006,fcm_k4_run44.csv
45,FCM,4,0.053095880704039006,fcm_k4_run45.csv
46,FCM,4,0.053095880704039006,fcm_k4_run46.csv
47,FCM,4,0.053095880704039006,fcm_k4_run47.csv
48,FCM,4,0.053095880704039006,fcm_k4_run48.csv
49,FCM,4,0.053095880704039006,fcm_k4_run49.csv
50,FCM,4,0.053095880704039006,fcm_k4_run50.csv
51,FCM,4,0.053095880704039006,fcm_k4_run51.csv
52,FCM,4,0.053095880704039006,fcm_k4_run52.csv
53,FCM,4,0.053095880704039006,fcm_k4_run53.csv
54,FCM,4,0.053095880704039006,fcm_k4_run54.csv
55,FCM,4,0.053095880704039006,fcm_k4_run55.csv
56,FCM,4,0.053095880704039006,fcm_k4_run56.csv
57,FCM,4,0.053095880704039006,fcm_k4_run57.csv
58,FCM,4,0.053095880704039006,fcm_k4_run58.csv
59,FCM,4,0.053095880704039006,fcm_k4_run59.csv
60,FCM,4,0.053095880704039006,fcm_k4_run60.csv
61,FCM,4,0.053095880704039006,fcm_k4_run61.csv
62,FCM,4,0.053095880704039006,fcm_k4_run62.csv
63,FCM,4,0.053095880704039006,fcm_k4_run63.csv
64,FCM,4,0.053095880704039006,fcm_k4_run64.csv
65,FCM,4,0.053095880704039006,fcm_k4_run65.csv
66,FCM,4,0.053095880704039006,fcm_k4_run66.csv
67,FCM,4,0.053095880704039006,fcm_k4_run67.csv
68,FCM,4,0.053095880704039006,fcm_k4_run68.csv
69,FCM,4,0.053095880704039006,fcm_k4_run69.csv
70,FCM,4,0.053095880704039006,fcm_k4_run70.csv
71,FCM,4,0.053095880704039006,fcm_k4_run71.csv
72,FCM,4,0.053095880704039006,fcm_k4_run72.csv
73,FCM,4,0.053095880704039006,fcm_k4_run73.csv
74,FCM,4,0.053095880704039006,fcm_k4_run74.csv
75,FCM,4,0.053095880704039006,fcm_k4_run75.csv
76,FCM,4,0.053095880704039006,fcm_k4_run76.csv
77,FCM,4,0.053095880704039006,fcm_k4_run77.csv
78,FCM,4,0.053095880704039006,fcm_k4_run78.csv
79,FCM,4,0.053095880704039006,fcm_k4_run79.csv
80,FCM,4,0.053095880704039006,fcm_k4_run80.csv
81,FCM,4,0.053095880704039006,fcm_k4_run81.csv
82,FCM,4,0.053095880704039006,fcm_k4_run82.csv
83,FCM,4,0.053095880704039006,fcm_k4_run83.csv
84,FCM,4,0.053095880704039006,fcm_k4_run84.csv
85,FCM,4,0.053095880704039006,fcm_k4_run85.csv
86,FCM,4,0.053095880704039006,fcm_k4_run86.csv
87,FCM,4,0.053095880704039006,fcm_k4_run87.csv
88,FCM,4,0.053095880704039006,fcm_k4_run88.csv
89,FCM,4,0.053095880704039006,fcm_k4_run89.csv
90,FCM,4,0.053095880704039006,fcm_k4_run90.csv
91,FCM,4,0.053095880704039006,fcm_k4_run91.csv
92,FCM,4,0.053095880704039006,fcm_k4_run92.csv
93,FCM,4,0.053095880704039006,fcm_k4_run93.csv
94,FCM,4,0.053095880704039006,fcm_k4_run94.csv
95,FCM,4,0.053095880704039006,fcm_k4_run95.csv
96,FCM,4,0.053095880704039006,fcm_k4_run96.csv
97,FCM,4,0.053095880704039006,fcm_k4_run97.csv
98,FCM,4,0.053095880704039006,fcm_k4_run98.csv
99,FCM,4,0.053095880704039006,fcm_k4_run99.csv
100,FCM,4,0.053095880704039006,fcm_k4_run100.csv
1,FRCM,4,0.04698624993509349,frcm_k4_run1.csv
2,FRCM,4,0.08302858361691617,frcm_k4_run2.csv
3,FRCM,4,0.11413026251146649,frcm_k4_run3.csv
4,FRCM,4,0.05899727825293052,frcm_k4_run4.csv
5,FRCM,4,0.044599448113770014,frcm_k4_run5.csv
6,FRCM,4,0.08302858361691617,frcm_k4_run6.csv
7,FRCM,4,0.04104165329060264,frcm_k4_run7.csv
8,FRCM,4,0.04104165329060264,frcm_k4_run8.csv
9,FRCM,4,0.04104165329060264,frcm_k4_run9.csv
10,FRCM,4,0.1117935146491225,frcm_k4_run10.csv
11,FRCM,4,0.062066970777658194,frcm_k4_run11.csv
12,FRCM,4,0.074316511404624,frcm_k4_run12.csv
13,FRCM,4,0.08685497993964421,frcm_k4_run13.csv
14,FRCM,4,0.03942949066824266,frcm_k4_run14.csv
15,FRCM,4,0.074316511404624,frcm_k4_run15.csv
16,FRCM,4,0.074316511404624,frcm_k4_run16.csv
17,FRCM,4,0.04104165329060264,frcm_k4_run17.csv
18,FRCM,4,0.074316511404624,frcm_k4_run18.csv
19,FRCM,4,0.08302858361691617,frcm_k4_run19.csv
20,FRCM,4,0.0730552613126647,frcm_k4_run20.csv
21,FRCM,4,0.04104165329060264,frcm_k4_run21.csv
22,FRCM,4,0.08302858361691617,frcm_k4_run22.csv
23,FRCM,4,0.074316511404624,frcm_k4_run23.csv
24,FRCM,4,0.03434631977920531,frcm_k4_run24.csv
25,FRCM,4,0.0581149647093292,frcm_k4_run25.csv
26,FRCM,4,0.05994752573640934,frcm_k4_run26.csv
27,FRCM,4,0.05994752573640934,frcm_k4_run27.csv
28,FRCM,4,0.074316511404624,frcm_k4_run28.csv
29,FRCM,4,0.08302858361691617,frcm_k4_run29.csv
30,FRCM,4,0.08302858361691617,frcm_k4_run30.csv
31,FRCM,4,0.0730552613126647,frcm_k4_run31.csv
32,FRCM,4,0.08097854471995293,frcm_k4_run32.csv
33,FRCM,4,0.0606795008339324,frcm_k4_run33.csv
34,FRCM,4,0.074316511404624,frcm_k4_run34.csv
35,FRCM,4,0.05833217305903573,frcm_k4_run35.csv
36,FRCM,4,0.074316511404624,frcm_k4_run36.csv
37,FRCM,4,0.074316511404624,frcm_k4_run37.csv
38,FRCM,4,0.057415742039794965,frcm_k4_run38.csv
39,FRCM,4,0.08302858361691617,frcm_k4_run39.csv
40,FRCM,4,0.04104165329060264,frcm_k4_run40.csv
41,FRCM,4,0.08685497993964421,frcm_k4_run41.csv
42,FRCM,4,0.08302858361691617,frcm_k4_run42.csv
43,FRCM,4,0.08302858361691617,frcm_k4_run43.csv
44,FRCM,4,0.074316511404624,frcm_k4_run44.csv
45,FRCM,4,0.03434631977920531,frcm_k4_run45.csv
46,FRCM,4,0.074316511404624,frcm_k4_run46.csv
47,FRCM,4,0.04104165329060264,frcm_k4_run47.csv
48,FRCM,4,0.0657265525893008,frcm_k4_run48.csv
49,FRCM,4,0.08302858361691617,frcm_k4_run49.csv
50,FRCM,4,0.074316511404624,frcm_k4_run50.csv
51,FRCM,4,0.04104165329060264,frcm_k4_run51.csv
52,FRCM,4,0.074316511404624,frcm_k4_run52.csv
53,FRCM,4,0.0730552613126647,frcm_k4_run53.csv
54,FRCM,4,0.074316511404624,frcm_k4_run54.csv
55,FRCM,4,0.074316511404624,frcm_k4_run55.csv
56,FRCM,4,0.074316511404624,frcm_k4_run56.csv
57,FRCM,4,0.074316511404624,frcm_k4_run57.csv
58,FRCM,4,0.074316511404624,frcm_k4_run58.csv
59,FRCM,4,0.074316511404624,frcm_k4_run59.csv
60,FRCM,4,0.074316511404624,frcm_k4_run60.csv
61,FRCM,4,0.074316511404624,frcm_k4_run61.csv
62,FRCM,4,0.074316511404624,frcm_k4_run62.csv
63,FRCM,4,0.08302858361691617,frcm_k4_run63.csv
64,FRCM,4,0.0730552613126647,frcm_k4_run64.csv
65,FRCM,4,0.04104165329060264,frcm_k4_run65.csv
66,FRCM,4,0.08302858361691617,frcm_k4_run66.csv
67,FRCM,4,0.074316511404624,frcm_k4_run67.csv
68,FRCM,4,0.04104165329060264,frcm_k4_run68.csv
69,FRCM,4,0.08302858361691617,frcm_k4_run69.csv
70,FRCM,4,0.04104165329060264,frcm_k4_run70.csv
71,FRCM,4,0.05732970455732236,frcm_k4_run71.csv
72,FRCM,4,0.03572377744452788,frcm_k4_run72.csv
73,FRCM,4,0.074316511404624,frcm_k4_run73.csv
74,FRCM,4,0.08302858361691617,frcm_k4_run74.csv
75,FRCM,4,0.05705574489748899,frcm_k4_run75.csv
76,FRCM,4,0.03434631977920531,frcm_k4_run76.csv
77,FRCM,4,0.074316511404624,frcm_k4_run77.csv
78,FRCM,4,0.04104165329060264,frcm_k4_run78.csv
79,FRCM,4,0.074316511404624,frcm_k4_run79.csv
80,FRCM,4,0.04104165329060264,frcm_k4_run80.csv
81,FRCM,4,0.04104165329060264,frcm_k4_run81.csv
82,FRCM,4,0.06386022832974714,frcm_k4_run82.csv
83,FRCM,4,0.074316511404624,frcm_k4_run83.csv
84,FRCM,4,0.08302858361691617,frcm_k4_run84.csv
85,FRCM,4,0.074316511404624,frcm_k4_run85.csv
86,FRCM,4,0.074316511404624,frcm_k4_run86.csv
87,FRCM,4,0.074316511404624,frcm_k4_run87.csv
88,FRCM,4,0.08302858361691617,frcm_k4_run88.csv
89,FRCM,4,0.074316511404624,frcm_k4_run89.csv
90,FRCM,4,0.08302858361691617,frcm_k4_run90.csv
91,FRCM,4,0.04104165329060264,frcm_k4_run91.csv
92,FRCM,4,0.08302858361691617,frcm_k4_run92.csv
93,FRCM,4,0.08302858361691617,frcm_k4_run93.csv
94,FRCM,4,0.0730552613126647,frcm_k4_run94.csv
95,FRCM,4,0.08302858361691617,frcm_k4_run95.csv
96,FRCM,4,0.03572377744452788,frcm_k4_run96.csv
97,FRCM,4,0.074316511404624,frcm_k4_run97.csv
98,FRCM,4,0.04104165329060264,frcm_k4_run98.csv
99,FRCM,4,0.074316511404624,frcm_k4_run99.csv
100,FRCM,4,0.04104165329060264,frcm_k4_run100.csv
1,FA-FRCM,3,0.03813271492537446,fafrcm_k3_run1.csv
2,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run2.csv
3,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run3.csv
4,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run4.csv
5,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run5.csv
6,FA-FRCM,3,0.1117935146491225,fafrcm_k3_run6.csv
7,FA-FRCM,3,0.02989328788547967,fafrcm_k3_run7.csv
8,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run8.csv
9,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run9.csv
10,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run10.csv
11,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run11.csv
12,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run12.csv
13,FA-FRCM,3,0.05620246728953738,fafrcm_k3_run13.csv
14,FA-FRCM,3,0.1117935146491225,fafrcm_k3_run14.csv
15,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run15.csv
16,FA-FRCM,3,0.08837879189831431,fafrcm_k3_run16.csv
17,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run17.csv
18,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run18.csv
19,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run19.csv
20,FA-FRCM,3,0.05967375732777056,fafrcm_k3_run20.csv
21,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run21.csv
22,FA-FRCM,3,0.08302858361691617,fafrcm_k3_run22.csv
23,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run23.csv
24,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run24.csv
25,FA-FRCM,3,0.08302858361691617,fafrcm_k3_run25.csv
26,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run26.csv
27,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run27.csv
28,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run28.csv
29,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run29.csv
30,FA-FRCM,3,0.03813271492537446,fafrcm_k3_run30.csv
31,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run31.csv
32,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run32.csv
33,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run33.csv
34,FA-FRCM,3,0.1117935146491225,fafrcm_k3_run34.csv
35,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run35.csv
36,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run36.csv
37,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run37.csv
38,FA-FRCM,3,0.08302858361691617,fafrcm_k3_run38.csv
39,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run39.csv
40,FA-FRCM,3,0.1117935146491225,fafrcm_k3_run40.csv
41,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run41.csv
42,FA-FRCM,3,0.03813271492537446,fafrcm_k3_run42.csv
43,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run43.csv
44,FA-FRCM,3,0.061801388706043396,fafrcm_k3_run44.csv
45,FA-FRCM,3,0.04132928236309223,fafrcm_k3_run45.csv
46,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run46.csv
47,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run47.csv
48,FA-FRCM,3,0.05732970455732236,fafrcm_k3_run48.csv
49,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run49.csv
50,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run50.csv
51,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run51.csv
52,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run52.csv
53,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run53.csv
54,FA-FRCM,3,0.05620246728953738,fafrcm_k3_run54.csv
55,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run55.csv
56,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run56.csv
57,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run57.csv
58,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run58.csv
59,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run59.csv
60,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run60.csv
61,FA-FRCM,3,0.061801388706043396,fafrcm_k3_run61.csv
62,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run62.csv
63,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run63.csv
64,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run64.csv
65,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run65.csv
66,FA-FRCM,3,0.05620246728953738,fafrcm_k3_run66.csv
67,FA-FRCM,3,0.1117935146491225,fafrcm_k3_run67.csv
68,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run68.csv
69,FA-FRCM,3,0.07748574181426147,fafrcm_k3_run69.csv
70,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run70.csv
71,FA-FRCM,3,0.05967375732777056,fafrcm_k3_run71.csv
72,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run72.csv
73,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run73.csv
74,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run74.csv
75,FA-FRCM,3,0.08302858361691617,fafrcm_k3_run75.csv
76,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run76.csv
77,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run77.csv
78,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run78.csv
79,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run79.csv
80,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run80.csv
81,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run81.csv
82,FA-FRCM,3,0.08302858361691617,fafrcm_k3_run82.csv
83,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run83.csv
84,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run84.csv
85,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run85.csv
86,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run86.csv
87,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run87.csv
88,FA-FRCM,3,0.05967375732777056,fafrcm_k3_run88.csv
89,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run89.csv
90,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run90.csv
91,FA-FRCM,3,0.04698624993509349,fafrcm_k3_run91.csv
92,FA-FRCM,3,0.05620246728953738,fafrcm_k3_run92.csv
93,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run93.csv
94,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run94.csv
95,FA-FRCM,3,0.05620246728953738,fafrcm_k3_run95.csv
96,FA-FRCM,3,0.09704483590861405,fafrcm_k3_run96.csv
97,FA-FRCM,3,0.04698842008323063,fafrcm_k3_run97.csv
98,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run98.csv
99,FA-FRCM,3,0.03434631977920531,fafrcm_k3_run99.csv
100,FA-FRCM,3,0.07596218929346195,fafrcm_k3_run100.csv
