combo_id,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
5,20,100,1.0,0.95,1.0,0.1,39.299915118630096,6.854109714403488,0.5125984251968504,0.10642308326554584,0.6110236220472441,0,44.4258993705986
41,20,200,1.0,0.95,1.0,0.1,39.29991511933715,6.8541097138236164,0.5125984251968504,0.10642308326554584,0.6110236220472441,0,44.425899371305654
197,30,200,1.0,0.97,1.0,0.1,40.748739215553876,5.857291007530247,0.547244094488189,0.08714938433534902,0.4874015748031496,0,46.221180160435765
125,25,200,1.0,0.97,1.0,0.1,41.267766010295034,6.631944916692985,0.5322834645669292,0.09840157196782341,0.5078740157480316,0,46.59060065596432
201,30,200,1.0,0.97,2.0,0.1,41.202618412157356,6.241251799962339,0.5708661417322836,0.1210589910356047,0.46299212598425205,0,46.91127982948019
161,30,100,1.0,0.97,1.0,0.1,42.83033145272738,4.9952499331395135,0.5480314960629922,0.0939700359728319,0.3677165354330708,0,48.310646413357304
53,20,200,1.0,0.97,1.0,0.1,43.164574683965284,5.120362826599587,0.5488188976377952,0.08623754909452,0.3913385826771653,0,48.65276366034324
77,25,100,1.0,0.95,1.0,0.1,42.9535594471293,5.036636398547228,0.5826771653543308,0.11139019173854416,0.3433070866141732,0,48.78033110067261
13,20,100,1.0,0.97,0.5,0.1,43.26144288540682,5.132888861453115,0.5519685039370079,0.08477832491108059,0.39448818897637794,0,48.781127924776904
113,25,200,1.0,0.95,1.0,0.1,43.022749095830626,5.049001123987085,0.5818897637795276,0.11168202606395485,0.3417322834645669,0,48.8416467336259
117,25,200,1.0,0.95,2.0,0.1,43.48711341448837,5.671951534021706,0.5401574803149607,0.09613073640744133,0.39448818897637794,0,48.88868821763798
89,25,100,1.0,0.97,1.0,0.1,43.480983166748715,5.257102323509647,0.5811023622047244,0.10602911149465022,0.3677165354330708,0,49.29200678879596
49,20,200,1.0,0.97,0.5,0.1,43.530649963564095,5.151847747830915,0.5811023622047244,0.10602911149465022,0.3653543307086614,0,49.34167358561134
185,30,200,1.0,0.95,1.0,0.1,43.64037691135483,5.250240406312358,0.6133858267716537,0.11157788714279275,0.3433070866141732,0,49.77423517907137
17,20,100,1.0,0.97,1.0,0.1,43.678200629343806,5.169039194281522,0.6133858267716537,0.11157788714279275,0.34094488188976374,0,49.81205889706034
45,20,200,1.0,0.95,2.0,0.1,45.02005302116892,1.55960521223592,0.6007874015748031,0.08619260326924645,0.22913385826771654,0,51.02792703691695
145,30,100,1.0,0.95,0.5,0.1,45.38218515714208,1.7305784292310924,0.5669291338582677,0.07328547428734758,0.27322834645669286,0,51.051476495724756
181,30,200,1.0,0.95,0.5,0.1,45.38218515714216,1.7305784292309583,0.5669291338582677,0.07328547428734758,0.27322834645669286,0,51.051476495724835
189,30,200,1.0,0.95,2.0,0.1,45.564552904238305,1.9320879581708506,0.5653543307086614,0.07431460855930072,0.27322834645669286,0,51.21809621132492
193,30,200,1.0,0.97,0.5,0.1,45.5472823025746,1.7903019029893366,0.5929133858267717,0.09646071018470276,0.2519685039370078,0,51.47641616084232
121,25,200,1.0,0.97,0.5,0.1,46.00578693084183,1.642832018109669,0.547244094488189,0.09304175037871239,0.28110236220472434,0,51.47822787572372
73,25,100,1.0,0.95,0.5,0.1,45.52617760663965,1.5817056290199136,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089162
23,20,100,1.0,0.97,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
24,20,100,1.0,0.97,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
25,20,100,1.0,0.99,0.5,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
26,20,100,1.0,0.99,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
19,20,100,1.0,0.97,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
20,20,100,1.0,0.97,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
21,20,100,1.0,0.97,2.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
22,20,100,1.0,0.97,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
15,20,100,1.0,0.97,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
4,20,100,1.0,0.95,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
58,20,200,1.0,0.97,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
48,20,200,1.0,0.95,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
32,20,100,1.0,0.99,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
31,20,100,1.0,0.99,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
38,20,200,1.0,0.95,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
39,20,200,1.0,0.95,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
33,20,100,1.0,0.99,2.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
34,20,100,1.0,0.99,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
44,20,200,1.0,0.95,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
40,20,200,1.0,0.95,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
43,20,200,1.0,0.95,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
42,20,200,1.0,0.95,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
47,20,200,1.0,0.95,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
46,20,200,1.0,0.95,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
35,20,100,1.0,0.99,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
36,20,100,1.0,0.99,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
63,20,200,1.0,0.99,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
59,20,200,1.0,0.97,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
51,20,200,1.0,0.97,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
50,20,200,1.0,0.97,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
52,20,200,1.0,0.97,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
54,20,200,1.0,0.97,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
55,20,200,1.0,0.97,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
56,20,200,1.0,0.97,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
29,20,100,1.0,0.99,1.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
10,20,100,1.0,0.95,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
12,20,100,1.0,0.95,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
11,20,100,1.0,0.95,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
7,20,100,1.0,0.95,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
6,20,100,1.0,0.95,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
8,20,100,1.0,0.95,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
2,20,100,1.0,0.95,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
72,20,200,1.0,0.99,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
69,20,200,1.0,0.99,2.0,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
68,20,200,1.0,0.99,1.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
67,20,200,1.0,0.99,1.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
61,20,200,1.0,0.99,0.5,0.1,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
60,20,200,1.0,0.97,2.0,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
62,20,200,1.0,0.99,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
66,20,200,1.0,0.99,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
71,20,200,1.0,0.99,2.0,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
70,20,200,1.0,0.99,2.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
27,20,100,1.0,0.99,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
28,20,100,1.0,0.99,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
16,20,100,1.0,0.97,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
14,20,100,1.0,0.97,0.5,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
18,20,100,1.0,0.97,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
3,20,100,1.0,0.95,0.5,1.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
64,20,200,1.0,0.99,0.5,2.0,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
30,20,100,1.0,0.99,1.0,0.5,45.52617760664049,1.5817056290199607,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089246
153,30,100,1.0,0.95,2.0,0.1,45.52617760664136,1.5817056290213192,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.51830359089333
9,20,100,1.0,0.95,2.0,0.1,45.59970936554021,1.650755790652048,0.5937007874015748,0.09363956181409155,0.24803149606299207,0,51.536717239555955
109,25,200,1.0,0.95,0.5,0.1,45.54898591030219,1.550117131847267,0.5992125984251968,0.08765480800692414,0.24803149606299207,0,51.54111189455416
129,25,200,1.0,0.97,2.0,0.1,45.65520225125821,1.654260913626428,0.5897637795275591,0.09863756616390593,0.2519685039370078,0,51.5528400465338
57,20,200,1.0,0.97,2.0,0.1,45.61581714645757,1.6676655886617864,0.5952755905511811,0.09180069092732206,0.24724409448818893,0,51.56857305196938
65,20,200,1.0,0.99,1.0,0.1,45.62225539944386,1.6745933556170627,0.5968503937007874,0.09006201320386106,0.24881889763779524,0,51.59075933645173
149,30,100,1.0,0.95,1.0,0.1,45.662781357047194,1.5892252785147583,0.5984251968503937,0.08921471806003667,0.2417322834645669,0,51.647033325551135
209,30,200,1.0,0.99,1.0,0.1,45.71714519428722,1.7870639218663265,0.5976377952755906,0.08923209021832812,0.24803149606299207,0,51.69352314704312
190,30,200,1.0,0.95,2.0,0.5,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
188,30,200,1.0,0.95,1.0,2.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
192,30,200,1.0,0.95,2.0,2.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
191,30,200,1.0,0.95,2.0,1.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
207,30,200,1.0,0.99,0.5,1.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
194,30,200,1.0,0.97,0.5,0.5,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
158,30,100,1.0,0.97,0.5,0.5,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
159,30,100,1.0,0.97,0.5,1.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
160,30,100,1.0,0.97,0.5,2.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
156,30,100,1.0,0.95,2.0,2.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
165,30,100,1.0,0.97,2.0,0.1,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
162,30,100,1.0,0.97,1.0,0.5,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
163,30,100,1.0,0.97,1.0,1.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
164,30,100,1.0,0.97,1.0,2.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
169,30,100,1.0,0.99,0.5,0.1,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
170,30,100,1.0,0.99,0.5,0.5,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
171,30,100,1.0,0.99,0.5,1.0,45.73551404044107,1.8109023506168638,0.5968503937007874,0.09006201320386106,0.24803149606299207,0,51.70401797744894
