T,run,seed,n_iter,final_objective,boundary_ratio,lower_ratio,max_cluster_ratio,is_imbalanced
0.05,1,43,13,52.619355295645775,0.14173228346456693,0.8582677165354331,0.5669291338582677,False
0.05,2,44,11,48.85472744232869,0.12992125984251968,0.8700787401574803,0.4881889763779528,False
0.05,3,45,15,51.07878830969141,0.07086614173228346,0.9291338582677166,0.7440944881889764,False
0.05,4,46,16,52.68573522383111,0.16929133858267717,0.8307086614173228,0.4921259842519685,False
0.05,5,47,24,53.00250204942201,0.06299212598425197,0.937007874015748,0.7440944881889764,False
0.05,6,48,13,47.23211546706954,0.12598425196850394,0.8740157480314961,0.5236220472440944,False
0.05,7,49,16,47.733407895394926,0.08267716535433071,0.9173228346456693,0.6220472440944882,False
0.05,8,50,14,46.93732644395455,0.0984251968503937,0.9015748031496063,0.6299212598425197,False
0.05,9,51,19,47.06727010212295,0.0984251968503937,0.9015748031496063,0.6496062992125984,False
0.05,10,52,14,53.23890013049321,0.05905511811023622,0.9409448818897638,0.7519685039370079,False
0.05,11,53,18,52.9750864682399,0.07480314960629922,0.9251968503937008,0.7165354330708661,False
0.05,12,54,15,46.78637100484708,0.1062992125984252,0.8937007874015748,0.6496062992125984,False
0.05,13,55,15,47.07238288490535,0.1377952755905512,0.8622047244094488,0.5275590551181102,False
0.05,14,56,14,56.57312632826565,0.05511811023622047,0.9448818897637795,0.7952755905511811,False
0.05,15,57,13,47.14342053597881,0.13385826771653545,0.8661417322834646,0.5275590551181102,False
0.05,16,58,12,47.29548932821892,0.12598425196850394,0.8740157480314961,0.5236220472440944,False
0.05,17,59,20,47.26534359766771,0.09448818897637795,0.905511811023622,0.6259842519685039,False
0.05,18,60,19,47.31384468672288,0.12598425196850394,0.8740157480314961,0.5236220472440944,False
0.05,19,61,37,47.2692930853597,0.05511811023622047,0.9448818897637795,0.6968503937007874,False
0.05,20,62,23,46.68698870574614,0.14173228346456693,0.8582677165354331,0.531496062992126,False
0.07,1,43,13,51.13747382180593,0.18503937007874016,0.8149606299212598,0.562992125984252,False
0.07,2,44,32,45.909726513158425,0.08661417322834646,0.9133858267716536,0.7047244094488189,False
0.07,3,45,15,49.706867073137445,0.09448818897637795,0.905511811023622,0.7440944881889764,False
0.07,4,46,13,47.518484915774785,0.1968503937007874,0.8031496062992126,0.547244094488189,False
0.07,5,47,25,52.04618699397534,0.08661417322834646,0.9133858267716536,0.7401574803149606,False
0.07,6,48,17,45.467717283287094,0.20078740157480315,0.7992125984251969,0.531496062992126,False
0.07,7,49,19,45.44944074972588,0.13385826771653545,0.8661417322834646,0.6692913385826772,False
0.07,8,50,18,45.44944074972789,0.13385826771653545,0.8661417322834646,0.6692913385826772,False
0.07,9,51,17,45.40044177698365,0.20078740157480315,0.7992125984251969,0.531496062992126,False
0.07,10,52,14,52.40885811111292,0.07480314960629922,0.9251968503937008,0.7598425196850394,False
0.07,11,53,12,48.81146414822096,0.12992125984251968,0.8700787401574803,0.7047244094488189,False
0.07,12,54,15,45.44944074987535,0.13385826771653545,0.8661417322834646,0.6692913385826772,False
0.07,13,55,16,45.569122539575176,0.1968503937007874,0.8031496062992126,0.531496062992126,False
0.07,14,56,21,55.684893884660646,0.08661417322834646,0.9133858267716536,0.7952755905511811,False
0.07,15,57,12,45.628332216794206,0.18503937007874016,0.8149606299212598,0.531496062992126,False
0.07,16,58,14,45.4890884550225,0.20078740157480315,0.7992125984251969,0.531496062992126,False
0.07,17,59,21,45.449440749727444,0.13385826771653545,0.8661417322834646,0.6692913385826772,False
0.07,18,60,15,45.392939110374876,0.20078740157480315,0.7992125984251969,0.5275590551181102,False
0.07,19,61,31,45.909726513158425,0.08661417322834646,0.9133858267716536,0.7047244094488189,False
0.07,20,62,22,45.473943747387175,0.1968503937007874,0.8031496062992126,0.531496062992126,False
0.08,1,43,14,50.097698788733204,0.2440944881889764,0.7559055118110236,0.5511811023622047,False
0.08,2,44,40,45.56812427893042,0.0984251968503937,0.9015748031496063,0.7125984251968503,False
0.08,3,45,17,49.81985392562711,0.07874015748031496,0.9212598425196851,0.7637795275590551,False
0.08,4,46,14,46.596294879502054,0.2283464566929134,0.7716535433070866,0.5511811023622047,False
0.08,5,47,27,51.97629088074041,0.09055118110236221,0.9094488188976378,0.7401574803149606,False
0.08,6,48,19,45.03502654135859,0.21653543307086615,0.7834645669291339,0.531496062992126,False
0.08,7,49,17,45.07635229161683,0.14566929133858267,0.8543307086614174,0.6653543307086615,False
0.08,8,50,17,45.261728374267776,0.14173228346456693,0.8582677165354331,0.6732283464566929,False
0.08,9,51,20,45.23446483120048,0.12598425196850394,0.8740157480314961,0.6968503937007874,False
0.08,10,52,13,51.954801357209334,0.09055118110236221,0.9094488188976378,0.7716535433070866,False
0.08,11,53,14,48.66380041391889,0.14173228346456693,0.8582677165354331,0.7047244094488189,False
0.08,12,54,22,45.09489381449013,0.2125984251968504,0.7874015748031497,0.5354330708661418,False
0.08,13,55,15,45.035026541333345,0.21653543307086615,0.7834645669291339,0.531496062992126,False
0.08,14,56,19,55.24863711028968,0.1062992125984252,0.8937007874015748,0.7952755905511811,False
0.08,15,57,14,44.965583509501116,0.2204724409448819,0.7795275590551181,0.531496062992126,False
0.08,16,58,14,45.03502654148016,0.21653543307086615,0.7834645669291339,0.531496062992126,False
0.08,17,59,20,45.26172837426708,0.14173228346456693,0.8582677165354331,0.6732283464566929,False
0.08,18,60,16,44.96558350933967,0.2204724409448819,0.7795275590551181,0.531496062992126,False
0.08,19,61,43,45.568124278930426,0.0984251968503937,0.9015748031496063,0.7125984251968503,False
0.08,20,62,24,45.07310376419338,0.21653543307086615,0.7834645669291339,0.531496062992126,False
0.09,1,43,28,48.3762147650671,0.3188976377952756,0.6811023622047244,0.5078740157480315,False
0.09,2,44,46,45.373247586269756,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,3,45,21,49.48491554218911,0.09055118110236221,0.9094488188976378,0.7677165354330708,False
0.09,4,46,15,45.726756113981736,0.2559055118110236,0.7440944881889764,0.5551181102362205,False
0.09,5,47,18,48.250404021068704,0.15354330708661418,0.8464566929133859,0.7125984251968503,False
0.09,6,48,16,45.37324758627313,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,7,49,17,43.96565657580589,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,8,50,17,43.96565657580633,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,9,51,19,43.96565657579039,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,10,52,14,51.81580265356461,0.09448818897637795,0.905511811023622,0.7755905511811023,False
0.09,11,53,17,48.253718500301396,0.16141732283464566,0.8385826771653543,0.7086614173228346,False
0.09,12,54,18,44.48683651343875,0.24803149606299213,0.7519685039370079,0.5393700787401575,False
0.09,13,55,15,43.592265536225256,0.25984251968503935,0.7401574803149606,0.5275590551181102,False
0.09,14,56,20,54.04700338006645,0.11811023622047244,0.8818897637795275,0.7952755905511811,False
0.09,15,57,14,44.500770383822214,0.23622047244094488,0.7637795275590551,0.531496062992126,False
0.09,16,58,14,44.50077038383817,0.23622047244094488,0.7637795275590551,0.531496062992126,False
0.09,17,59,20,43.96565657580539,0.16141732283464566,0.8385826771653543,0.6653543307086615,False
0.09,18,60,17,44.335215727002925,0.24015748031496062,0.7598425196850394,0.531496062992126,False
0.09,19,61,37,45.37324758626974,0.10236220472440945,0.8976377952755905,0.7125984251968503,False
0.09,20,62,20,44.46113079667275,0.23622047244094488,0.7637795275590551,0.5393700787401575,False
0.1,1,43,21,47.639976291000686,0.3464566929133858,0.6535433070866141,0.5196850393700787,False
0.1,2,44,46,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,3,45,24,49.28077718543653,0.10236220472440945,0.8976377952755905,0.7755905511811023,False
0.1,4,46,16,44.93211761358299,0.2755905511811024,0.7244094488188977,0.5551181102362205,False
0.1,5,47,15,47.80159550332433,0.1732283464566929,0.8267716535433071,0.6968503937007874,False
0.1,6,48,30,44.33790064291961,0.15748031496062992,0.84251968503937,0.6929133858267716,False
0.1,7,49,15,43.51329310038823,0.18110236220472442,0.8188976377952756,0.6496062992125984,False
0.1,8,50,16,43.44456030831877,0.18503937007874016,0.8149606299212598,0.6535433070866141,False
0.1,9,51,59,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,10,52,12,51.46445652159973,0.1062992125984252,0.8937007874015748,0.7677165354330708,False
0.1,11,53,18,47.89393144233263,0.1732283464566929,0.8267716535433071,0.7204724409448819,False
0.1,12,54,21,44.14646028073123,0.2637795275590551,0.7362204724409449,0.5511811023622047,False
0.1,13,55,16,43.38763537545355,0.2795275590551181,0.7204724409448819,0.5354330708661418,False
0.1,14,56,20,53.48866699307218,0.12992125984251968,0.8700787401574803,0.7874015748031497,False
0.1,15,57,18,44.062671194038685,0.25196850393700787,0.7480314960629921,0.5393700787401575,False
0.1,16,58,15,43.716552059100295,0.2755905511811024,0.7244094488188977,0.531496062992126,False
0.1,17,59,19,43.444560308318465,0.18503937007874016,0.8149606299212598,0.6535433070866141,False
0.1,18,60,14,42.894934705949126,0.2795275590551181,0.7204724409448819,0.531496062992126,False
0.1,19,61,43,44.454305395205004,0.15354330708661418,0.8464566929133859,0.6929133858267716,False
0.1,20,62,18,43.081612775309566,0.2874015748031496,0.7125984251968503,0.5354330708661418,False
